Date,Open,High,Low,Close,Adj Close,Volume
31-Oct-22,4.54,4.62,4.0861,4.1909,4.1909,51234
28-Oct-22,4.36,4.6841,4.33,4.5498,4.5498,12404
27-Oct-22,4.1746,4.3561,4.0875,4.3339,4.3339,17172
26-Oct-22,3.9532,4.2777,3.9315,4.1201,4.1201,25012
25-Oct-22,3.9592,3.9843,3.876,3.9672,3.9672,24540
24-Oct-22,3.8394,3.9683,3.8,3.9201,3.9201,27132
21-Oct-22,3.7579,3.8714,3.6608,3.8323,3.8323,33514
20-Oct-22,3.8137,3.9603,3.7186,3.7568,3.7568,30291
19-Oct-22,3.9947,4.0164,3.8034,3.9043,3.9043,37280
18-Oct-22,4.1004,4.1535,3.9624,3.9935,3.9935,34928
17-Oct-22,3.9981,4.1188,3.9981,4.0852,4.0852,36784
14-Oct-22,4.084,4.1042,3.9126,3.9802,3.9802,44328
13-Oct-22,3.9332,4.1149,3.8624,4.0948,4.0948,51420
12-Oct-22,3.9032,4.0707,3.8601,3.9328,3.9328,63627
11-Oct-22,3.8742,3.9433,3.6941,3.9308,3.9308,56577
10-Oct-22,4.0598,4.0859,3.8595,3.9147,3.9147,53633
7-Oct-22,3.8787,4.0506,3.8399,4.0187,4.0187,48891
6-Oct-22,3.6951,3.8883,3.6044,3.8649,3.8649,63535
5-Oct-22,3.5306,3.7174,3.486,3.6869,3.6869,66370
4-Oct-22,3.3691,3.5455,3.3547,3.5358,3.5358,57715
3-Oct-22,3.265,3.3795,3.2649,3.3691,3.3691,55220
30-Sep-22,3.4047,3.4047,3.3299,3.369,3.369,46906
29-Sep-22,3.4514,3.4954,3.3831,3.4146,3.4146,12484
28-Sep-22,3.2545,3.4657,3.205,3.4494,3.4494,22641
27-Sep-22,3.1389,3.2855,3.124,3.2599,3.2599,20164
26-Sep-22,3.2514,3.2663,3.1085,3.1291,3.1291,23690
23-Sep-22,3.4112,3.4114,3.2059,3.2371,3.2371,25303
22-Sep-22,3.3319,3.4758,3.3057,3.4115,3.4115,31592
21-Sep-22,3.3762,3.499,3.263,3.3338,3.3338,33860
